รหัสชนิด,ชื่อวิทยาศาสตร์ที่ค้น,ชื่อที่พบ,ไฟล์,ผู้ถ่าย,สัญญาอนุญาต,ลิงก์สัญญาอนุญาต,ที่มา
7-31170-001-136,Zingiber officinale,Zingiber officinale,img/plants/136.jpg,Greg III Espera,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://www.inaturalist.org/photos/13363718
7-31170-001-137,Andrographis paniculata,Andrographis paniculata,img/plants/137.jpg,ผู้ใช้ iNaturalist,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://www.inaturalist.org/photos/53707556
7-31170-001-138,Belamcanda chinensis,Iris domestica,img/plants/138.jpg,ผู้ใช้ iNaturalist,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://www.inaturalist.org/photos/65066126
7-31170-001-139,Phyllanthus amarus,Phyllanthus amarus,img/plants/139.jpg,Kuan-Chieh (Chuck) Hung,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://www.inaturalist.org/photos/22995204
7-31170-001-140,Hygrophila erecta,Hygrophila erecta,img/plants/140.jpg,Pranav Chandra Bose,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://www.inaturalist.org/photos/178444132
7-31170-001-141,Aglaonema modestum,Aglaonema modestum,img/plants/141.jpg,siwenxtbg,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/378863640
7-31170-001-142,Spondias pinnata,Spondias pinnata,img/plants/142.jpg,Dinesh Valke,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://www.inaturalist.org/photos/1467662
7-31170-001-143,Cardiospermum halicacabum,Cardiospermum halicacabum,img/plants/143.jpg,Kuan-Chieh (Chuck) Hung,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://www.inaturalist.org/photos/40413105
7-31170-001-144,Canavalia gladiata,Canavalia gladiata,img/plants/144.jpg,Radha Veach,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/256321755
7-31170-001-145,Echinodorus cordifolius,Echinodorus cordifolius,img/plants/145.jpg,sblumen,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://www.inaturalist.org/photos/432851572
7-31170-001-146,Passiflora foetida,Passiflora foetida,img/plants/146.jpg,Alex Yu,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/289723896
7-31170-001-147,Ipomoea ochracea,Ipomoea ochracea,img/plants/147.jpg,Forest and Kim Starr,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://www.inaturalist.org/photos/4713663
7-31170-001-148,Cosmos sulphureus,Cosmos sulphureus,img/plants/148.jpg,Annika Lindqvist,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://www.inaturalist.org/photos/26247862
7-31170-001-149,Duranta erecta,Duranta erecta,img/plants/149.jpg,M,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/16323821
7-31170-001-150,Garcinia cowa,Garcinia cowa,img/plants/150.jpg,Khant Ye Yint ( Lord Khanevyr ov Mandralyx),CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/612589309
7-31170-001-151,Cayratia trifolia,Causonis trifolia,img/plants/151.jpg,Shiwalee Samant,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/66781183
7-31170-001-152,Pluchea indica,Pluchea indica,img/plants/152.jpg,ผู้ใช้ iNaturalist,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://www.inaturalist.org/photos/28138419
